Date,Location,AQI,SO2,NO2,O3,CO,C6H6,PM10,PM2.5,Pb,Arsen,Cadmiu,Nichel,Benzo(a)pyrene
2022-01-01,Bucharest,52.52,196.76,87.03,69.82,0.73,3.58,0.99,6.51,0.22,1.85,4.9,5.56,0.41
2022-01-02,Bucharest,57.12,6.13,187.84,13.04,6.24,1.7,49.72,20.66,0.35,4.43,0.91,15.81,0.39
2022-01-03,Bucharest,47.68,17.26,32.64,27.23,8.54,0.93,37.16,16.45,0.0,3.44,0.18,16.15,0.14
2022-01-04,Bucharest,48.71,53.37,10.77,90.87,6.2,2.11,9.09,0.55,0.01,1.62,4.68,13.85,0.36
2022-01-05,Bucharest,48.5,227.56,165.88,79.02,6.93,1.47,7.9,15.04,0.42,1.15,3.95,14.34,0.97
2022-01-06,Bucharest,57.98,335.68,172.64,112.37,3.6,3.65,17.88,17.95,0.24,5.27,4.08,7.51,0.3
2022-01-07,Bucharest,47.3,131.93,181.87,37.72,9.69,3.84,42.76,22.55,0.49,4.73,2.77,2.28,0.45
2022-01-08,Bucharest,51.35,37.81,160.41,53.22,0.64,0.7,1.8,14.01,0.26,4.85,0.04,14.13,0.89
2022-01-09,Bucharest,31.55,330.02,33.55,23.95,2.03,1.32,24.59,3.32,0.21,1.13,1.85,14.46,0.72
2022-01-10,Bucharest,33.0,109.32,88.7,81.48,1.37,0.58,46.91,4.72,0.39,3.79,1.84,16.08,0.5
2022-01-11,Bucharest,46.64,183.98,150.41,94.08,7.06,1.14,0.18,4.34,0.1,2.32,4.21,11.5,0.01
2022-01-12,Bucharest,39.63,283.12,15.85,108.4,0.68,0.59,2.87,16.37,0.47,4.66,2.21,10.02,0.86
2022-01-13,Bucharest,66.02,303.89,193.85,82.81,8.47,3.58,27.49,17.39,0.33,4.65,0.38,18.98,0.81
2022-01-14,Bucharest,50.71,323.3,81.05,63.77,4.98,3.17,8.98,18.88,0.13,4.9,1.11,5.74,0.09
2022-01-15,Bucharest,50.29,78.92,164.41,101.15,5.79,0.92,26.36,18.32,0.22,2.32,2.31,19.14,0.33
2022-01-16,Bucharest,38.36,284.93,178.71,78.69,9.7,0.91,16.26,11.62,0.16,2.51,0.19,14.03,0.79
2022-01-17,Bucharest,65.22,259.47,113.3,48.24,0.09,3.8,24.24,21.49,0.37,0.97,3.49,11.71,0.28
2022-01-18,Bucharest,53.2,77.05,149.61,85.69,3.74,0.05,29.25,8.57,0.08,2.08,1.55,17.24,0.67
2022-01-19,Bucharest,66.32,332.62,82.6,6.56,1.34,3.08,22.48,18.61,0.05,2.71,4.26,19.74,0.05
2022-01-20,Bucharest,57.17,117.81,186.07,96.58,7.55,2.13,29.75,16.91,0.35,3.6,1.0,11.49,0.89
2022-01-21,Bucharest,61.58,270.36,87.08,67.91,4.19,3.42,34.15,24.22,0.47,0.94,0.01,7.47,0.28
2022-01-22,Bucharest,56.13,311.18,54.69,114.53,4.75,2.11,28.9,23.72,0.3,1.46,3.01,11.75,0.39
2022-01-23,Bucharest,51.33,226.9,117.07,105.4,2.73,3.73,36.78,1.34,0.39,5.85,3.3,3.58,0.77
2022-01-24,Bucharest,53.19,229.29,22.5,117.64,4.82,3.11,23.14,2.18,0.0,1.2,0.94,1.75,0.04
2022-01-25,Bucharest,59.7,270.11,169.88,118.75,2.87,3.41,11.01,1.71,0.23,1.5,4.77,10.31,0.49
2022-01-26,Bucharest,49.63,183.89,149.38,18.2,9.97,4.77,47.03,24.26,0.31,3.29,0.09,6.4,0.53
2022-01-27,Bucharest,52.61,67.26,168.16,70.13,4.77,0.6,0.37,17.85,0.04,0.1,4.42,5.73,0.85
2022-01-28,Bucharest,54.32,37.47,109.66,28.88,7.58,4.94,23.88,17.85,0.39,1.75,2.3,13.65,0.63
2022-01-29,Bucharest,57.77,190.08,42.77,112.92,3.61,2.61,42.8,3.58,0.33,2.74,1.26,17.41,0.56
2022-01-30,Bucharest,46.58,211.78,165.82,69.27,4.9,2.97,30.77,20.62,0.23,5.62,4.34,4.8,0.79
2022-01-31,Bucharest,32.75,149.43,69.77,111.02,6.78,1.2,23.95,14.17,0.12,1.59,3.45,11.51,0.73
2022-02-01,Bucharest,57.1,89.54,43.25,34.66,7.37,1.99,19.07,13.05,0.16,4.4,1.45,3.47,0.6
2022-02-02,Bucharest,55.11,321.77,91.39,98.94,9.15,1.73,0.36,13.59,0.19,2.46,1.82,17.69,0.76
2022-02-03,Bucharest,43.0,108.03,89.88,86.53,3.8,1.75,25.45,19.36,0.32,3.11,1.19,16.93,0.74
2022-02-04,Bucharest,49.19,85.16,161.87,72.42,1.76,2.25,32.68,1.31,0.32,1.04,0.17,5.07,0.94
2022-02-05,Bucharest,47.8,141.65,29.44,64.48,3.47,0.64,38.9,3.76,0.35,1.15,4.2,3.33,0.82
2022-02-06,Bucharest,58.92,251.02,88.23,93.25,4.18,2.15,48.06,13.94,0.16,1.23,1.03,10.72,0.9
2022-02-07,Bucharest,54.03,327.97,46.51,77.45,3.6,2.4,2.17,9.37,0.07,0.73,1.63,3.52,0.82
2022-02-08,Bucharest,48.12,341.52,92.69,81.97,7.38,0.09,21.11,10.96,0.23,2.86,3.93,5.23,0.4
2022-02-09,Bucharest,43.59,51.31,104.42,33.03,3.36,3.94,44.46,14.51,0.19,5.35,1.51,9.92,0.31
2022-02-10,Bucharest,62.1,330.15,135.58,86.3,7.28,0.73,15.09,4.57,0.38,0.98,4.44,1.8,0.24
2022-02-11,Bucharest,50.06,171.36,11.01,13.93,0.24,2.74,41.56,14.07,0.12,4.36,3.62,6.73,0.65
2022-02-12,Bucharest,46.96,213.23,193.43,108.97,4.64,4.25,3.57,8.44,0.0,3.73,3.69,5.91,0.63
